iter	Logloss
0	0.6366193748
1	0.5914232082
2	0.5517292322
3	0.5167569096
4	0.4801389854
5	0.4450205444
6	0.4138568926
7	0.3889099384
8	0.3687056585
9	0.3530260973
10	0.3328302691
11	0.315852834
12	0.3006440118
13	0.2898659659
14	0.2808873064
15	0.2679135695
16	0.25906522
17	0.2456783667
18	0.2386145962
19	0.2306578192
20	0.2235523022
21	0.2161730147
22	0.2111153702
23	0.2047041958
24	0.1993072058
25	0.190725348
26	0.186375162
27	0.1799857636
28	0.1778252771
29	0.1729924732
30	0.1701723875
31	0.1656391235
32	0.163304614
33	0.1605933296
34	0.156622314
35	0.1546729615
36	0.1520655199
37	0.1492200025
38	0.1453657766
39	0.1416653455
40	0.1391827084
41	0.1374844907
42	0.1357986641
43	0.1340738071
44	0.1329262229
45	0.1305953108
46	0.1270505965
47	0.1256130666
48	0.12273734
49	0.1194969852
50	0.1174758424
51	0.1159777831
52	0.115050917
53	0.1127429368
54	0.110491993
55	0.1095141686
56	0.1087809609
57	0.1076499083
58	0.1069691391
59	0.1057960382
60	0.1047066194
61	0.1041610271
62	0.103387417
63	0.1028652045
64	0.1014123199
65	0.1009396978
66	0.09951935678
67	0.09886724525
68	0.09813861362
69	0.09706995262
70	0.096585309
71	0.09532803065
72	0.09439282658
73	0.09323334879
74	0.0924085578
75	0.09185839676
76	0.0908673687
77	0.09038593313
78	0.08999049841
79	0.08966390709
80	0.08883885085
81	0.08807820256
82	0.08723206963
83	0.08668316285
84	0.08622721811
85	0.08554665938
86	0.08485320257
87	0.08428613258
88	0.08367644315
89	0.08326689984
90	0.08295610832
91	0.08264774682
92	0.08211834744
93	0.0814919732
94	0.08111159263
95	0.0807987924
96	0.08054280631
97	0.08032560318
98	0.07980997198
99	0.07943741124
100	0.07898385458
101	0.07844818522
102	0.07807088323
103	0.07771915003
104	0.07751728834
105	0.07704589234
106	0.07637282354
107	0.07557314737
108	0.07512860277
109	0.07482848734
110	0.07454596655
111	0.07412384397
